scenario,ta,ta_est,se_ta_est,Ne_est,se_Ne_est
SerialConstant,0,1366.3808192904821,20.937305938143023,8390.940525745496,22.308660935740857
TennessenEuropean,0,3.449106633552053e-41,3.4257729262160276e-41,6699.9440478173665,8.384042926531384
SerialConstant,100,376.0312137879672,14.703920372146818,8342.151166523125,21.402483908147858
TennessenEuropean,100,1.916470796891246e-20,4.0498408416179894e-21,6860.790906785975,7.295583838369818
SerialConstant,1000,1816.264015344122,19.68877710883955,8367.027379180025,22.21767010088218
TennessenEuropean,1000,7.567019090946246e-20,7.566972141856687e-20,6704.0998653712795,12.39824595881176
SerialConstant,10000,11458.038152440084,60.76098111140194,8997.396309173342,23.471741668433534
TennessenEuropean,10000,4751.432420097221,35.69295697067802,5675.85299105473,16.115329495413064
