scenario,N,ta,L,rec_rate_mean,rec_rate_se,corr_s1_s2,se_corr,seed,Ne
SerialConstant,200,1000,2000,5.6493296770653615e-06,6.273536341564983e-07,0.2798708035168569,0.001294392160912843,24,10000
SerialConstant,200,1000,2000,8.318675134790622e-06,9.320361975267059e-07,0.2667215611480997,0.0012996300769827212,24,10000
SerialConstant,200,1000,2000,1.2171258192054133e-05,1.3515376332855362e-06,0.25174583655312355,0.0013048987857691699,24,10000
SerialConstant,200,1000,2000,1.7924189392886902e-05,2.009413326889065e-06,0.2253274002777413,0.0013134222079979156,24,10000
SerialConstant,200,1000,2000,2.6224848086107026e-05,2.910540042454055e-06,0.19809419446264076,0.0013219861695486913,24,10000
SerialConstant,200,1000,2000,3.861313790858041e-05,4.327174892523362e-06,0.16869749492246214,0.0013290646224829907,24,10000
SerialConstant,200,1000,2000,5.649513180206775e-05,6.272945357198625e-06,0.14633959961305087,0.0013338979605177115,24,10000
SerialConstant,200,1000,2000,8.317669347178156e-05,9.314825705581722e-06,0.11561622095148107,0.0013398641094996974,24,10000
SerialConstant,200,1000,500,1.2170823262798212e-07,1.3517179918817324e-08,0.14608586212578972,0.0013337109026314879,24,10000
SerialConstant,200,1000,500,1.7923997500265113e-07,2.009151659162929e-08,0.14196146630989823,0.0013344474097135464,24,10000
SerialConstant,200,1000,500,2.6224909554696703e-07,2.910376151199791e-08,0.14758386059554435,0.001333934911124227,24,10000
SerialConstant,200,1000,500,3.8615410435102677e-07,4.328154726570909e-08,0.14572985151032347,0.001333767145520386,24,10000
SerialConstant,200,1000,500,5.649897580059927e-07,6.270688840414153e-08,0.14021599748548527,0.0013353216097523914,24,10000
SerialConstant,200,1000,500,8.320059213611428e-07,9.328688945806694e-08,0.13908106428745798,0.0013348129678110035,24,10000
SerialConstant,200,1000,500,1.2173127295183927e-06,1.3505831529655573e-07,0.1372240279467245,0.0013361310836001452,24,10000
SerialConstant,200,1000,500,1.7922286687559278e-06,2.008121292295111e-07,0.1354267608258403,0.001336000480062919,24,10000
SerialConstant,200,1000,500,2.622265009075473e-06,2.911499719123675e-07,0.13287576177465346,0.001336424838183498,24,10000
SerialConstant,200,1000,500,3.861299931143228e-06,4.3267781883736026e-07,0.13095999031592567,0.001336762535691033,24,10000
SerialConstant,200,1000,500,5.649566941511933e-06,6.272384128907125e-07,0.12750020541535095,0.0013374240005527705,24,10000
SerialConstant,200,1000,500,8.31878991962725e-06,9.321094811105592e-07,0.12444311852861213,0.0013379535416051561,24,10000
SerialConstant,200,1000,500,1.2171409490919242e-05,1.3514631557755802e-06,0.11171672160647295,0.0013399284166154416,24,10000
SerialConstant,200,1000,500,1.7921646124204558e-05,2.0078279872644535e-06,0.10143247706308038,0.001341608695869855,24,10000
SerialConstant,200,1000,500,2.6221569439046916e-05,2.912161548754933e-06,0.08939427615286556,0.0013428424696240676,24,10000
SerialConstant,200,1000,500,3.861403651682506e-05,4.327735124582389e-06,0.07130401543811805,0.0013448807445494862,24,10000
SerialConstant,200,1000,500,5.649630995989019e-05,6.272364297922198e-06,0.057065771416168275,0.0013462941971052272,24,10000
SerialConstant,200,1000,500,8.317770957614843e-05,9.315470144709029e-06,0.0433766353455957,0.0013475998902148206,24,10000
SerialConstant,200,10000,1000,1.2171549573920523e-07,1.351324067634165e-08,0.19420681642550366,0.0013227197978049824,24,10000
SerialConstant,200,10000,1000,1.7920800726747318e-07,2.0070784374038912e-08,0.1900132509408118,0.001324114440595176,24,10000
SerialConstant,200,10000,1000,2.622093279352768e-07,2.9122998263348497e-08,0.18925546558115366,0.0013237557350551743,24,10000
SerialConstant,200,10000,1000,3.86130123507212e-07,4.3265301296980734e-08,0.18660048403030602,0.0013246741230177252,24,10000
