ID1,ID2,p-value (Wilcoxon),p-value (Binomial)
UstIshim,LBK,0.705128996462832,0.36159460805356514
NA06984,LBK,2.5630832507250074e-06,1.862645149230957e-09
LBK,UstIshim,0.705128996462832,0.36159460805356514
NA06984,UstIshim,2.5630832507250074e-06,1.862645149230957e-09
LBK,NA06984,2.5630832507250074e-06,1.862645149230957e-09
UstIshim,NA06984,2.5630832507250074e-06,1.862645149230957e-09
