ANC_ID,MOD_ID,rec_rate_mean,rec_rate_se,corr_piA_piB,se_corr_piA_piB,mask
UstIshim,SS6004474,0.0005094624093837103,3.496144092506692e-05,0.03839747485551486,0.0036312339749698516,pilot
UstIshim,SS6004474,0.0006465961883199614,4.441126311446723e-05,0.04548360109538592,0.00376654320510116,pilot
UstIshim,SS6004474,0.00082050754416405,5.639993987766987e-05,0.037521169714539546,0.0039742308657208965,pilot
UstIshim,SS6004474,0.0010404321724040494,7.169705773727536e-05,0.03167637462522184,0.004251413483217447,pilot
UstIshim,SS6004474,0.0013187932313794089,9.037969184968172e-05,0.040956318082439234,0.004619116591433479,pilot
UstIshim,SS6004474,0.0016711725617068764,0.00011513019313088324,0.03534613405165836,0.005108235818352631,pilot
UstIshim,SS6004474,0.0021179437874243694,0.00014629983264680252,0.03657399577476008,0.005880452449618595,pilot
UstIshim,SS6004474,0.002678195629147502,0.00018325493267391636,0.03448740554440449,0.00702085014190851,pilot
UstIshim,SS6004474,0.0033976140308369534,0.00023163066827806432,0.012803439520503938,0.008545059605837032,pilot
UstIshim,SS6004474,0.0043015527619160564,0.0002881616351045422,0.018555187006215185,0.01104933923532397,pilot
UstIshim,SS6004474,0.005469133081144853,0.0003762510589497389,0.019850813541779765,0.015660200841086058,pilot
UstIshim,SS6004474,0.006846129968238767,0.00046274015040865103,0.018370237946301517,0.02533858750855261,pilot
UstIshim,SS6004474,0.008654542323936771,0.0005199186701226033,0.08280960687044035,0.04300497067563062,pilot
