ANC_ID,MOD_ID,rec_rate_mean,rec_rate_se,corr_piA_piB,se_corr_piA_piB
LBK,NA11919,0.00010015491251235061,4.575554332131289e-06,0.08345183064508532,0.004419349260909389
LBK,NA11919,0.00011736210467603068,5.380752926935072e-06,0.08168170802907011,0.004341224162523293
LBK,NA11919,0.0001375870303147579,6.280912671486285e-06,0.07589795470575679,0.004279741975829191
LBK,NA11919,0.00016119662062422314,7.4200867032153014e-06,0.07103162132987247,0.0042351100503078285
LBK,NA11919,0.0001889344749029396,8.656718989217882e-06,0.06897650967794315,0.004191266520898418
LBK,NA11919,0.00022146654575747155,1.014514262187158e-05,0.06566042526309927,0.004168508490844342
LBK,NA11919,0.0002595302438229445,1.1852004680723073e-05,0.056636311053727996,0.004182439701648608
LBK,NA11919,0.00030416483831069706,1.3891236831650802e-05,0.05777318982164865,0.004205815030140928
LBK,NA11919,0.0003563349228044943,1.632495591132734e-05,0.050133658356627656,0.004238929461786345
LBK,NA11919,0.0004179241979163083,1.9177642532927576e-05,0.046816311067616564,0.004320453890788612
LBK,NA11919,0.0004896312652973089,2.252377659692497e-05,0.048716917107903164,0.0043834985188948615
LBK,NA11919,0.0005736427467687355,2.6265458431502327e-05,0.03994025705366848,0.004503789753116283
LBK,NA11919,0.0006722611929248463,3.0985703627405224e-05,0.034669770198020755,0.004627838414603583
LBK,NA11919,0.0007884329465614178,3.624299871004276e-05,0.04300836476181832,0.00479925200832446
LBK,NA11919,0.0009233507781881811,4.2290037777716275e-05,0.03855879891937028,0.004987747448633852
LBK,NA11920,1.0847700230621482e-05,4.937447698906469e-07,0.2469073099809338,0.005910093588908093
LBK,NA11920,1.2712840684248305e-05,5.821971193796998e-07,0.19871914880797395,0.005926472291774764
LBK,NA11920,1.4896486345019771e-05,6.841877356569655e-07,0.21970013584207873,0.005828673649050725
LBK,NA11920,1.7470581317753795e-05,8.025449109097765e-07,0.21323100326010505,0.005726007185495707
LBK,NA11920,2.0481342151107488e-05,9.383317042900225e-07,0.17644639933020717,0.005708856958438543
LBK,NA11920,2.3976477566059783e-05,1.0913264807757896e-06,0.17493629324481794,0.005604162573965753
LBK,NA11920,2.8114751896854327e-05,1.290881992011176e-06,0.17311788929449468,0.0054922223541483215
LBK,NA11920,3.2961747476808116e-05,1.5133839013892747e-06,0.16837053364404586,0.005407338122414098
LBK,NA11920,3.862759102898021e-05,1.7695815945004124e-06,0.13998228537361035,0.0052824932568153
LBK,NA11920,4.52856837734936e-05,2.0825556111846843e-06,0.12294332865986125,0.005129455089930097
LBK,NA11920,5.3081167396732024e-05,2.4368150108933887e-06,0.11333352319637757,0.005002865517259664
LBK,NA11920,6.223245122884778e-05,2.8521857610627515e-06,0.10219782375387003,0.004827075415121359
LBK,NA11920,7.291717276407402e-05,3.320353040562955e-06,0.09241661521440216,0.004690120511700893
LBK,NA11920,8.548404442698054e-05,3.912383971938985e-06,0.11291911197289091,0.004515030213041371
LBK,NA11920,0.00010018366735681856,4.579043975527121e-06,0.07905462039433471,0.0044136965930330375
LBK,NA11920,0.00011731713479685996,5.384984616300239e-06,0.07836742644802137,0.004352925778387412
LBK,NA11920,0.0001375953420829756,6.285662139843813e-06,0.07878028455837702,0.004302908250097202
LBK,NA11920,0.00016119051798880085,7.378456592573325e-06,0.06870005283048347,0.0042367199877840715
LBK,NA11920,0.00018897528585117032,8.65724349387884e-06,0.0710501501241821,0.004179383608573407
LBK,NA11920,0.00022145776136856183,1.012843382590665e-05,0.062470123461549516,0.004189925064032145
LBK,NA11920,0.0002596460294110416,1.1868512594313765e-05,0.05921483213942203,0.0041505375279828165
LBK,NA11920,0.0003041666947969959,1.3895262758706793e-05,0.05000765001605167,0.004194387843262068
LBK,NA11920,0.00035629442049853205,1.6277535820449354e-05,0.05570075576674252,0.004251099781473944
LBK,NA11920,0.0004176880516693833,1.9129901877151132e-05,0.050483977660972304,0.004318106291954947
LBK,NA11920,0.0004895868427065562,2.2332242561668433e-05,0.04748006120497,0.004349752663578415
LBK,NA11920,0.000573858476242791,2.6431421908559194e-05,0.03599270265128454,0.00451475059603312
LBK,NA11920,0.0006722700635669109,3.1042826193758636e-05,0.03761187191923419,0.004636900602155624
LBK,NA11920,0.0007885692037900476,3.636579077327943e-05,0.04038788586329907,0.004795408421087537
LBK,NA11920,0.0009229229906375895,4.223932645751138e-05,0.02967570248951499,0.005008389318243734
LBK,NA11930,1.08417524333917e-05,4.952006960387774e-07,0.20848095216805146,0.006055339828376125
LBK,NA11930,1.2710944049756288e-05,5.80283772065428e-07,0.2358561608898046,0.005889299629932823
LBK,NA11930,1.4895863027537029e-05,6.829126028578253e-07,0.1983392404140965,0.005814588905254959
LBK,NA11930,1.7466260898072242e-05,8.004460148618397e-07,0.2198277269459883,0.0057050998336425915
LBK,NA11930,2.046780008299004e-05,9.357614720567818e-07,0.19937043186254433,0.005637243690652697
LBK,NA11930,2.3982669733431496e-05,1.0975592342444948e-06,0.18227500392029986,0.005577907372229024
LBK,NA11930,2.8126702361405582e-05,1.2895649420433177e-06,0.15593802745396032,0.005529999198269012
LBK,NA11930,3.297578138321585e-05,1.505815394105134e-06,0.15499073037372127,0.005430569231209823
LBK,NA11930,3.8638899526420275e-05,1.7788926641632655e-06,0.1469587730661142,0.0052932425718967314
LBK,NA11930,4.528572178071882e-05,2.069665958231813e-06,0.13852476346646628,0.0051282280973904346
LBK,NA11930,5.309074272053523e-05,2.4226304514601493e-06,0.11220478698959137,0.004990431941312413
LBK,NA11930,6.221675959690167e-05,2.8527989248132037e-06,0.10821860885686974,0.00485373363703028
LBK,NA11930,7.291687431125132e-05,3.335690236527461e-06,0.11470591350984699,0.004665030014582696
LBK,NA11930,8.547248030730955e-05,3.903972672185752e-06,0.09620259059327367,0.004528021784744914
LBK,NA11930,0.00010016949900179627,4.581802495500565e-06,0.08445082352366921,0.004396551081425889
LBK,NA11930,0.00011734222657171423,5.389994427091991e-06,0.08168214658349494,0.004345472042293035
LBK,NA11930,0.00013760200025038363,6.290026732055283e-06,0.06955420054397024,0.004286982575334801
LBK,NA11930,0.0001612203444189752,7.395265924759125e-06,0.07976961112989629,0.004235321593847038
LBK,NA11930,0.0001890006549702876,8.644082974582157e-06,0.06586107222352043,0.004194298451225381
LBK,NA11930,0.00022139109809926762,1.0146611300153528e-05,0.06650740106937368,0.004179375356538825
LBK,NA11930,0.0002595911569300499,1.1870068567686576e-05,0.04895222682219199,0.004170586807757853
LBK,NA11930,0.00030417093694009055,1.384210993686075e-05,0.061067343776933555,0.004186159991355951
LBK,NA11930,0.0003564093819224874,1.627892172335886e-05,0.05852767689399138,0.004246218105320949
LBK,NA11930,0.0004179883065619306,1.9172757567176886e-05,0.04380178717675882,0.0043164047192319225
LBK,NA11930,0.0004897834767802532,2.2454136075369294e-05,0.04405650907305967,0.004359538957470468
LBK,NA11930,0.0005736168247218902,2.633947083437917e-05,0.04294809756999378,0.004506387116036711
LBK,NA11930,0.0006723018698315205,3.0962870378064475e-05,0.040356102645453536,0.004626205208988016
LBK,NA11930,0.0007880872959234995,3.627209757068052e-05,0.030187818168247546,0.004812067968904138
LBK,NA11930,0.0009230230643757288,4.221655775706407e-05,0.03523832230506707,0.005027403044377138
LBK,NA11931,1.085057713259706e-05,4.962272530865803e-07,0.23774223646571907,0.005992315500860785
LBK,NA11931,1.2711203379504833e-05,5.808289411086587e-07,0.24516527499937296,0.005856743840386086
LBK,NA11931,1.4893322858590448e-05,6.820304439906933e-07,0.2353988118666182,0.005807169728537622
LBK,NA11931,1.7458612636186076e-05,7.960870211750614e-07,0.2052812888697209,0.005704226684373265
LBK,NA11931,2.04634498770795e-05,9.410271431250088e-07,0.196168328353696,0.005711908874248075
LBK,NA11931,2.3978640916958394e-05,1.0944124025009685e-06,0.17689188408299866,0.005612456420152352
LBK,NA11931,2.812706204828169e-05,1.2770435440912627e-06,0.1597436547376724,0.005534492006670034
LBK,NA11931,3.2965692361383036e-05,1.5136223461120239e-06,0.14691656927750976,0.0054361149923586125
LBK,NA11931,3.863873329610751e-05,1.7765699973121236e-06,0.15724471465540935,0.005277070224415827
LBK,NA11931,4.527424383708755e-05,2.079134217650317e-06,0.13796100550137005,0.005129323286875248
LBK,NA11931,5.308746302258107e-05,2.435083660404319e-06,0.12263558238679265,0.0050162867713326245
LBK,NA11931,6.224809095535446e-05,2.852038026868446e-06,0.11492707046040836,0.004832577694919781
LBK,NA11931,7.288179721915803e-05,3.3463972784067528e-06,0.09495665490746746,0.0046911808945514916
LBK,NA11931,8.548538148334459e-05,3.913651757629992e-06,0.09859720482063512,0.004523867320242229
LBK,NA11931,0.00010014197331942376,4.5884958330367695e-06,0.08647256479528431,0.0043892110825131895
LBK,NA11931,0.00011733362490971826,5.383319687588708e-06,0.0775691866043725,0.004330634668048605
LBK,NA11931,0.00013757382694161996,6.279573984469185e-06,0.07723842586950852,0.00428736401217387
LBK,NA11931,0.00016121118256742274,7.404393297525916e-06,0.07679558261963129,0.00423283839603219
LBK,NA11931,0.00018889931373158953,8.661497208783178e-06,0.06756338248411865,0.0042012124426087415
LBK,NA11931,0.00022152617707047928,1.0140438888749433e-05,0.06198858383328055,0.004183053260131972
LBK,NA11931,0.00025962735079679294,1.1830871907147627e-05,0.06909906459987451,0.0041708151141629886
LBK,NA11931,0.00030424148610624956,1.3916464883871738e-05,0.046039912952191016,0.004192195583637714
LBK,NA11931,0.00035632703692413446,1.63585729260551e-05,0.04718890323772214,0.004233251838154912
LBK,NA11931,0.0004176869728782519,1.918333042656227e-05,0.04412745382989158,0.00430951027619029
LBK,NA11931,0.0004896138250863656,2.2555348836827957e-05,0.051624816720115166,0.004370542411358388
LBK,NA11931,0.0005739131723190961,2.644115101219132e-05,0.04402686952703509,0.00449021677429131
LBK,NA11931,0.0006724176531842607,3.0898475871056036e-05,0.03376487081529717,0.004640586572155532
LBK,NA11931,0.0007882265622541293,3.6268379757871226e-05,0.026112569966764337,0.0048141828344687295
LBK,NA11931,0.0009231841746889253,4.237805655618904e-05,0.043208372376951305,0.0049967671880180526
LBK,NA11932,1.083702078664068e-05,5.017273110996605e-07,0.2491934643118681,0.005987241880191244
LBK,NA11932,1.271190810258784e-05,5.827348486432013e-07,0.19060045829380526,0.005991685012229861
LBK,NA11932,1.4896268388067526e-05,6.829290459778906e-07,0.2171238618290022,0.005823394506256826
LBK,NA11932,1.7467750790045518e-05,7.999452997735313e-07,0.18619294913598133,0.005745298272302093
LBK,NA11932,2.0458883954603968e-05,9.377417376116274e-07,0.18415581484693092,0.005670885055639251
LBK,NA11932,2.398692558442654e-05,1.102085911277386e-06,0.1997660272332464,0.005592262961281888
LBK,NA11932,2.8121870022063247e-05,1.2918398973366916e-06,0.1683094218945372,0.005525725043762402
LBK,NA11932,3.296328543441736e-05,1.505763966480755e-06,0.1655897389354025,0.0054103286298266134
LBK,NA11932,3.8643663027236666e-05,1.771061982625288e-06,0.13890300854698623,0.005293861955302593
LBK,NA11932,4.52795910751671e-05,2.0707924275566424e-06,0.13493311254725515,0.005141351957401517
LBK,NA11932,5.3073778916309346e-05,2.430510265649221e-06,0.12050698294861686,0.004991467835402605
LBK,NA11932,6.22439368845463e-05,2.8541249671755103e-06,0.10676864734303576,0.004833516779785098
LBK,NA11932,7.289763345106305e-05,3.3317456605059593e-06,0.09551189430467918,0.004703901682392161
LBK,NA11932,8.547296015459643e-05,3.9095965494376525e-06,0.10138954182559883,0.004511974087875972
LBK,NA11932,0.0001001425957591175,4.5769676208339686e-06,0.08761207892407727,0.004420504877209625
LBK,NA11932,0.00011734100370366123,5.394285799639817e-06,0.08729327508461716,0.004334466659414808
LBK,NA11932,0.00013759179872050258,6.310213215087829e-06,0.07636586180329258,0.00429142411959187
LBK,NA11932,0.00016122991449626255,7.4097343021777716e-06,0.07023641800599992,0.004251049807975957
LBK,NA11932,0.00018894900370307699,8.64527650763954e-06,0.06901551622680412,0.004188594494678481
LBK,NA11932,0.00022143924613352093,1.0145347666896418e-05,0.0649113200117495,0.004171225417049798
LBK,NA11932,0.00025953107762928426,1.1841722349010831e-05,0.056623874534751935,0.0041800226222121085
LBK,NA11932,0.0003041238504378792,1.3917268811288618e-05,0.051566493964351034,0.00419209608576247
LBK,NA11932,0.0003564215675032617,1.6259985743575455e-05,0.05424577578829342,0.004247246721704519
LBK,NA11932,0.0004178609069400456,1.9205313860252634e-05,0.04883651307527439,0.004328302447904547
LBK,NA11932,0.0004895446812652677,2.2493313567756104e-05,0.04487996153525338,0.004368789938304045
LBK,NA11932,0.0005737525786487396,2.62435599773723e-05,0.0384115016121294,0.004504151419144434
LBK,NA11932,0.0006726185979149966,3.091567815902602e-05,0.03692357759451012,0.004630145989855318
LBK,NA11932,0.0007881297132841216,3.61754480883443e-05,0.035430460379878986,0.004793606648338855
LBK,NA11932,0.0009231565997948623,4.221891161707989e-05,0.05593611309464766,0.005012576875985554
LBK,NA11933,1.084113069542907e-05,4.978255290414164e-07,0.23735581162377908,0.005989935600052207
LBK,NA11933,1.2709267782909751e-05,5.810469435860965e-07,0.24176099997742287,0.005878880089030329
LBK,NA11933,1.489956984935039e-05,6.83267008338049e-07,0.22426368744061326,0.0058104488009307976
LBK,NA11933,1.7456979944296153e-05,7.973487471630799e-07,0.19971459973998237,0.005760957989883711
LBK,NA11933,2.0468296845268365e-05,9.350585308428152e-07,0.1814589871950761,0.005622817743482942
LBK,NA11933,2.3988701421505782e-05,1.093378651881554e-06,0.18034369955408974,0.005586403257823887
LBK,NA11933,2.811494814497539e-05,1.2901753232777187e-06,0.19013405534588051,0.0054537069267865815
LBK,NA11933,3.29630241777152e-05,1.50409241159631e-06,0.16756162230917374,0.005404111412075081
LBK,NA11933,3.86130777657595e-05,1.770981604303913e-06,0.1572145738176573,0.005277774054852696
LBK,NA11933,4.528827735005908e-05,2.0791993389909145e-06,0.1286104515459085,0.005165499506062944
LBK,NA11933,5.306549832997587e-05,2.4322170276837506e-06,0.11961912703927921,0.005020007178028046
LBK,NA11933,6.224689067404975e-05,2.8492176720733483e-06,0.10147988359867738,0.004863060191118609
LBK,NA11933,7.292341776513221e-05,3.3289069887533845e-06,0.09151151905342143,0.004679418558089321
LBK,NA11933,8.547359059776676e-05,3.914198615513112e-06,0.10471462003557735,0.004552845196905913
LBK,NA11933,0.0001001820713238395,4.583818564011575e-06,0.08091566434999581,0.004404753841370713
LBK,NA11933,0.00011737125729359909,5.38109221862875e-06,0.09007645378076841,0.004360425166267833
LBK,NA11933,0.00013763867993865888,6.328712394824781e-06,0.0853222282919659,0.004293151408915298
LBK,NA11933,0.00016121932132825954,7.375336051441584e-06,0.07104279708438127,0.004245605083340435
LBK,NA11933,0.00018892611658473705,8.679102287505087e-06,0.06118761291170373,0.004200747649639453
LBK,NA11933,0.0002214409288849009,1.0152259563414587e-05,0.057717142500216014,0.004161165834538405
LBK,NA11933,0.00025968481076004606,1.1865639090177218e-05,0.06852657473705404,0.004153160376740828
LBK,NA11933,0.00030415136251164614,1.3879479237073245e-05,0.06241208329375627,0.004185921568877884
LBK,NA11933,0.0003564216409028278,1.6313449933660568e-05,0.055833727692385246,0.004253690752053141
LBK,NA11933,0.0004179365938899861,1.9186513785520766e-05,0.05136960235348065,0.004325518553410764
LBK,NA11933,0.0004897182463624622,2.2413916999410718e-05,0.047003325774528176,0.00437796023314019
LBK,NA11933,0.0005738570282995815,2.633441923906364e-05,0.05191884154305876,0.004470039785937837
LBK,NA11933,0.000672499143877798,3.088798834124837e-05,0.03742318560972083,0.004652486457068741
LBK,NA11933,0.0007885007478779533,3.643872074773371e-05,0.037283120012248344,0.0048018531084728575
LBK,NA11933,0.0009232190637309698,4.25465375252435e-05,0.04915581504919984,0.004986854399647324
LBK,NA11992,1.0843161351614274e-05,4.9799677667182e-07,0.27778202723386547,0.005943733394904059
LBK,NA11992,1.2708245851954205e-05,5.792136891304006e-07,0.2253318555903254,0.005968212149641851
LBK,NA11992,1.4890875992722179e-05,6.827540848885001e-07,0.22974679944771245,0.005776094120832619
LBK,NA11992,1.7466454604284615e-05,7.952105288955934e-07,0.24227881657899109,0.0056741112999536625
LBK,NA11992,2.0457823802261908e-05,9.368190316843679e-07,0.20878948768183184,0.005626971980905114
LBK,NA11992,2.398443365826266e-05,1.09828950110172e-06,0.20812391203119007,0.005541679276878288
LBK,NA11992,2.8111995925811905e-05,1.2889729417973334e-06,0.1787437838449085,0.00545507009967859
LBK,NA11992,3.2968011986758855e-05,1.5052493386809857e-06,0.17920593020658296,0.0053380585953038285
LBK,NA11992,3.8637951292520956e-05,1.7715703952474155e-06,0.15234611096035078,0.005219754924147975
LBK,NA11992,4.5294772185896616e-05,2.080796430507729e-06,0.13107780786582357,0.0051170360333908
LBK,NA11992,5.308728137402992e-05,2.4285711065718514e-06,0.12136927129623966,0.004970311528460121
LBK,NA11992,6.219940686312538e-05,2.857437474914366e-06,0.10935353103107516,0.004834264884120781
LBK,NA11992,7.293032662309055e-05,3.3275320693045622e-06,0.12007419763362023,0.004672882797322205
LBK,NA11992,8.548103881380708e-05,3.893554026599307e-06,0.08304567880442563,0.004524941168277761
LBK,NA11992,0.00010015136281867082,4.5772466869912e-06,0.08308656056202914,0.004407969324756981
LBK,NA11992,0.00011727960469558245,5.385057476248202e-06,0.07652329172588705,0.004352970370106673
LBK,NA11992,0.00013753506809481618,6.307774562032558e-06,0.08592188518425149,0.004293367798136113
LBK,NA11992,0.00016124843454863117,7.384015993306089e-06,0.07578608589274273,0.0042635896510342325
LBK,NA11992,0.00018892521081804225,8.66947704268974e-06,0.056089713440214746,0.004212241892017767
LBK,NA11992,0.00022147654207468884,1.015391881134281e-05,0.07240275805843302,0.00417769275089966
LBK,NA11992,0.00025955981522721264,1.1840135409521197e-05,0.0707180278673751,0.004146886022085548
LBK,NA11992,0.00030407458187399277,1.3893477236405466e-05,0.050719653893083395,0.004190100654129344
LBK,NA11992,0.00035627822328964027,1.632867607793304e-05,0.05281945872668347,0.0042481868844307675
LBK,NA11992,0.00041785011373825877,1.9131572303651332e-05,0.05341044442130883,0.004311889947742277
LBK,NA11992,0.000489583561741682,2.2521872444994622e-05,0.05090983825320393,0.004359653414928636
LBK,NA11992,0.0005737601076991887,2.637846783007072e-05,0.05876229183703841,0.004499231965844501
LBK,NA11992,0.0006725258615443341,3.093870466664735e-05,0.04781550093960213,0.004611945155268485
LBK,NA11992,0.0007884250636906521,3.6374098257907596e-05,0.03887240088352008,0.004810456158975755
LBK,NA11992,0.0009229664990851985,4.2254042459425745e-05,0.04447988756762802,0.005019581800730814
LBK,NA11994,1.0842297092996816e-05,4.96472599261555e-07,0.22362613853731275,0.006002462643510316
LBK,NA11994,1.2710928091411398e-05,5.826421855250286e-07,0.22613243066547203,0.005906870935061629
LBK,NA11994,1.4901861789984616e-05,6.840383320537623e-07,0.20983411332981095,0.005817699186369728
LBK,NA11994,1.7465790115649725e-05,8.014737712766977e-07,0.20976910111264388,0.0057302009229903425
LBK,NA11994,2.047179842082232e-05,9.334827947916147e-07,0.19490511599289026,0.005634675750844502
