scenario,Ne,scale_marginal,se_scale_marginal,se_scale_marginal_fd,scale_jt,eps_jt,se_scale_jt,se_eps_jt,n_panel,n_snps,ta,min_maf,seed
SerialConstant,20000,1425.1392197177654,6.521707611196846,6.487377503105143,1000.1587487944043,0.004726317476194477,42.59245773005533,3.434809046198442e-05,100.0,199066.0,20.0,1,1
SerialConstant,20000,1257.1580918149757,6.068907137264916,6.077972085317204,1000.097637504253,0.0041747133399679705,30.76246367227269,3.508093655600858e-05,100.0,199066.0,40.0,1,1
SerialConstant,20000,1131.6979089732397,5.691320351214974,5.707963736872068,1000.0508262226749,0.0034786724827619193,20.526857024727803,2.7631995664229792e-05,100.0,199066.0,60.0,1,1
SerialConstant,20000,1396.9561267461663,6.485220484171178,6.45522948000398,1000.1914499697904,0.005472461218428459,42.799066554214924,3.646015175162132e-05,100.0,199066.0,80.0,1,1
SerialConstant,20000,1302.845258757577,6.185797088916262,6.181666416902855,1000.1081667653832,0.004269133667574656,33.09326130352523,3.679307832821682e-05,100.0,199066.0,100.0,1,1
SerialConstant,20000,1590.8121688740305,6.887760313992438,6.894883112935009,1000.2622569404546,0.005607597816606442,56.86224434075655,4.683731088052053e-05,100.0,199066.0,120.0,1,1
SerialConstant,20000,1764.075872231988,7.245114468414105,7.258658578690615,1000.3780597033909,0.006600541085737988,67.46909113498124,4.812085622988376e-05,100.0,199066.0,140.0,1,1
SerialConstant,20000,1731.314601225676,7.210405409913675,7.227015330288571,1000.3027634102062,0.005604258885421809,65.67418282972827,6.862476096985776e-05,100.0,199066.0,160.0,1,1
SerialConstant,20000,1539.590914095578,6.773598660275659,6.765210326157418,1000.2057669264836,0.005020679657031132,51.150224718769856,4.391626431771132e-05,100.0,199066.0,180.0,1,1
SerialConstant,20000,1673.0568980896724,7.054987529660341,7.071038832786118,1000.2801669999005,0.005701587217659205,59.55050294153967,4.7342475112251464e-05,100.0,199066.0,200.0,1,1
SerialConstant,20000,1687.836562336634,7.096041117080361,7.112652393919233,1000.2907818104521,0.005458248521638335,65.14296746906653,6.255859575425498e-05,100.0,199066.0,220.0,1,1
SerialConstant,20000,1954.2785624797818,7.752463612867705,7.7419978065335755,1000.4132446284382,0.006055544388843314,81.58543388032714,6.410571192865169e-05,100.0,199066.0,240.0,1,1
SerialConstant,20000,2052.102349521278,7.9746426045622005,7.9708297127683405,1000.547400136332,0.007134304886491666,89.14314125698495,8.242858698472986e-05,100.0,199066.0,260.0,1,1
SerialConstant,20000,2070.3775842353803,7.9497816165211495,7.950951001068839,1000.5240353383375,0.006913917926016255,88.4619047858196,4.6646524572638515e-05,100.0,199066.0,280.0,1,1
SerialConstant,20000,2473.427028479886,8.835011563349278,8.83118217218956,1000.7297794029026,0.007206942001385474,117.19141453613871,0.0001222866450972433,100.0,199066.0,300.0,1,1
SerialConstant,20000,2075.8528692403875,7.985820902292254,7.989281656536573,1000.5386034574667,0.006883208275623783,91.44299026014588,0.00010013703068482955,100.0,199066.0,320.0,1,1
SerialConstant,20000,2314.9907902769364,8.44587085197324,8.467869032110638,1000.6654528691064,0.007261794333947575,106.00662230426494,0.0001544877003128364,100.0,199066.0,340.0,1,1
SerialConstant,20000,2107.441172094217,8.04876595295071,8.0596156075285,1000.6131025434983,0.00745423168099409,94.82095496194476,6.431762768030789e-05,100.0,199066.0,360.0,1,1
SerialConstant,20000,2626.7817105055797,9.217763801219126,9.18571430691944,1000.8760661807805,0.007841128981119072,127.61236858616655,7.364841354688757e-05,100.0,199066.0,380.0,1,1
SerialConstant,20000,2106.5053883130936,8.101520348368922,8.111332161222105,1000.6015770451437,0.007397523272746763,93.92574985331372,7.840304306521372e-05,100.0,199066.0,400.0,1,1
