scenario,Ne,scale_marginal,se_scale_marginal,se_scale_marginal_fd,scale_jt,eps_jt,se_scale_jt,se_eps_jt,n_panel,n_snps,ta,min_maf,seed
SerialConstant,20000,1356.2213563581336,6.316886221630663,6.2968696453454935,1357.0019909906134,0.0022844708331260046,80.42988274612601,0.0008913562150997135,100.0,199066.0,20.0,1,1
SerialConstant,20000,1186.0198487865318,5.867581507936061,5.887726224754545,1186.3488857324992,0.0020390201295684795,41.07617052922816,0.006219553066319716,100.0,199066.0,40.0,1,1
SerialConstant,20000,1079.873188925372,5.553590894061249,5.556671546355172,1080.1859953619025,0.001852513281808926,38.35827948229325,0.001203578318386833,100.0,199066.0,60.0,1,1
SerialConstant,20000,1311.127589069842,6.234848889674382,6.2279543081591315,1311.1275890765485,0.002654706141475924,1.0000000006599006,1.3406783920283425e-05,100.0,199066.0,80.0,1,1
SerialConstant,20000,1235.7715636664318,5.990785191613308,6.0045375837224055,1235.3083425612972,0.002078353950649844,58.48015587899447,0.00010289439357854446,100.0,199066.0,100.0,1,1
SerialConstant,20000,1506.7185578775343,6.7164615794421865,6.695506918669841,1507.086570660056,0.0029434908231573383,46.99694749134062,0.0006983699961831693,100.0,199066.0,120.0,1,1
SerialConstant,20000,1678.5252484525251,7.05322272225744,7.069360162902654,1677.9137960206597,0.0031347027855772682,83.33883488674314,0.0011051189910080668,100.0,199066.0,140.0,1,1
SerialConstant,20000,1638.1250661191161,6.982440492684169,6.996516425652455,1637.754698620027,0.002906982600228413,46.84003018027286,0.00025066190488942305,100.0,199066.0,160.0,1,1
SerialConstant,20000,1461.5904934658208,6.613661244502443,6.579772102170288,1462.259533438134,0.002414012761483562,71.48225681675957,0.0012254430958222394,100.0,199066.0,180.0,1,1
SerialConstant,20000,1591.3671784008936,6.880297875758293,6.8868096293114975,1590.5887414677454,0.002735379444118515,93.6317630515599,0.009699017280131129,100.0,199066.0,200.0,1,1
SerialConstant,20000,1599.0368959773184,6.860798490869466,6.869067714820609,1599.3114278654748,0.0028194599169647947,34.20855169778113,0.006147211422175336,100.0,199066.0,220.0,1,1
SerialConstant,20000,1840.9629566437295,7.48172266347226,7.484451473520735,1839.9976340180194,0.003044055392622037,127.97221860378308,0.0027933849675869566,100.0,199066.0,240.0,1,1
SerialConstant,20000,1935.072848917396,7.711508929920596,7.702549412628527,1936.3969019143083,0.0033032939506209397,187.3692920314156,0.01875203355268081,100.0,199066.0,260.0,1,1
SerialConstant,20000,1958.070189908532,7.746897293848353,7.737339929692313,1958.0701899116432,0.003303054939576748,0.9999999747369173,6.806607659891571e-05,100.0,199066.0,280.0,1,1
SerialConstant,20000,2322.2893047087164,8.510588013544687,8.530376248463249,2321.819790679275,0.003917421155241246,76.87307658791066,0.0042888345444278,100.0,199066.0,300.0,1,1
SerialConstant,20000,1957.990475466247,7.75471936458295,7.742208500262866,1958.0808883862044,0.0031917464557041997,12.667713670759808,1.3268723229009003e-05,100.0,199066.0,320.0,1,1
SerialConstant,20000,2198.6965233919586,8.197132531129338,8.220506507942362,2198.867247790139,0.0034373805008095374,25.822949019053496,0.00048462836954342095,100.0,199066.0,340.0,1,1
SerialConstant,20000,1990.7710394911298,7.813452459240917,7.802684405795663,1990.4237929019725,0.0035530325441914543,53.88366239305663,0.0002041864794938134,100.0,199066.0,360.0,1,1
SerialConstant,20000,2452.367193260956,8.853049470413929,8.851069674331502,2452.0707186681066,0.004149463839715107,50.740013637710675,0.0010860007425740228,100.0,199066.0,380.0,1,1
SerialConstant,20000,1975.366933404682,7.830906854861519,7.819514620116315,1975.3669334074812,0.0033985543087134058,1.0000000000119704,1.3680461656589521e-05,100.0,199066.0,400.0,1,1
SerialConstant,20000,2368.0146317588124,8.679910254847465,8.697225024685679,2367.7576284669244,0.0037904479034859846,41.36233572474542,0.0009507206653231936,100.0,199066.0,420.0,1,1
SerialConstant,20000,2207.4475783639623,8.255974797535174,8.281476902043607,2207.0717019973035,0.003765815134792254,60.590810760952564,0.004824824615724528,100.0,199066.0,440.0,1,1
SerialConstant,20000,2391.234558834256,8.657666452987796,8.665395115492691,2391.2317311804927,0.003722125596951989,1.0967667131749406,2.6961993837713733e-05,100.0,199066.0,460.0,1,1
SerialConstant,20000,2185.3304513908965,8.26540720371488,8.289568622785982,2185.3304513946523,0.00363166483697358,1.0000000071088182,2.6980128266849483e-05,100.0,199066.0,480.0,1,1
SerialConstant,20000,2233.836325158316,8.304509034090644,8.330338941982918,2233.8760833354586,0.003779567880109227,6.469759926280409,7.583910026819604e-05,100.0,199066.0,500.0,1,1
