scenario,ta,seed,rec_rate,corr_piApiB,se_corr_piApiB,nreps
Two-Locus Tennessen,0,42,0.000509413801481638,0.02508311497112335,0.014140514457696382,5000
Two-Locus Tennessen,0,42,0.0005336699231206312,0.024320270887828933,0.014140781080287353,5000
Two-Locus Tennessen,0,42,0.0005590810182512223,0.004604804687411244,0.01414481493235406,5000
Two-Locus Tennessen,0,42,0.0005857020818056667,0.0013750372779963522,0.014144951527523281,5000
Two-Locus Tennessen,0,42,0.0006135907273413176,0.019178878903920265,0.014142363193450943,5000
Two-Locus Tennessen,0,42,0.0006428073117284319,0.020885552480264233,0.014141879501744298,5000
Two-Locus Tennessen,0,42,0.0006734150657750821,0.03425314448762294,0.014136664476868462,5000
Two-Locus Tennessen,0,42,0.0007054802310718645,0.01784100133546941,0.014142713539939167,5000
Two-Locus Tennessen,0,42,0.0007390722033525775,0.02425925900869622,0.014140802048805547,5000
Two-Locus Tennessen,0,42,0.000774263682681127,0.017380848500677018,0.014142828184514651,5000
Two-Locus Tennessen,0,42,0.0008111308307896872,0.007232211618409995,0.014144594969448974,5000
Two-Locus Tennessen,0,42,0.0008497534359086447,0.0026286703613954553,0.014144916029380221,5000
Two-Locus Tennessen,0,42,0.0008902150854450393,0.004883407120115538,0.014144796236468318,5000
Two-Locus Tennessen,0,42,0.0009326033468832199,-0.004159749487472244,0.01414484252032557,5000
Two-Locus Tennessen,0,42,0.0009770099572992256,0.01699299530961608,0.014142922488817202,5000
Two-Locus Tennessen,0,42,0.001023531021899027,-0.020541146028074192,0.014141980430907615,5000
Two-Locus Tennessen,0,42,0.0010722672220103231,0.010802716785002383,0.014144139526149574,5000
Two-Locus Tennessen,0,42,0.0011233240329780276,0.026066088964900917,0.014140158748648813,5000
Two-Locus Tennessen,0,42,0.0011768119524349992,0.006384761334825101,0.014144676585727416,5000
Two-Locus Tennessen,0,42,0.0012328467394420659,0.01221006835800843,0.01414391045387765,5000
Two-Locus Tennessen,0,42,0.001291549665014884,0.028502245232211332,0.01413921820327788,5000
Two-Locus Tennessen,0,42,0.0013530477745798076,0.010389004649829179,0.014144201536011628,5000
Two-Locus Tennessen,0,42,0.0014174741629268048,-0.0029599857144015,0.014144902933866938,5000
Two-Locus Tennessen,0,42,0.001484968262254465,-0.006160808119542558,0.014144696457110997,5000
Two-Locus Tennessen,0,42,0.0015556761439304723,-0.004707023772468592,0.014144808200362813,5000
Two-Locus Tennessen,0,42,0.0016297508346206436,-0.0031678745879928608,0.014144893924090362,5000
Two-Locus Tennessen,0,42,0.0017073526474706922,0.00929356881646007,0.014144354033187137,5000
Two-Locus Tennessen,0,42,0.001788649529057435,-0.025842770447465937,0.014140240761975821,5000
Two-Locus Tennessen,0,42,0.001873817422860385,0.010509024095847296,0.014144183796056005,5000
Two-Locus Tennessen,0,42,0.0019630406500402726,0.003554392326389006,0.01414487554772902,5000
Two-Locus Tennessen,0,42,0.0020565123083486517,-0.010605717797251208,0.014144169355628676,5000
Two-Locus Tennessen,0,42,0.0021544346900318843,-0.01133805924414018,0.01414405569159985,5000
Two-Locus Tennessen,0,42,0.0022570197196339213,-0.02210835211021769,0.014141507594602967,5000
Two-Locus Tennessen,0,42,0.002364489412645407,-0.001177697817251164,0.014144955090327194,5000
Two-Locus Tennessen,0,42,0.0024770763559917113,-0.010327647491063128,0.014144210526431883,5000
Two-Locus Tennessen,0,42,0.002595024211399737,0.002087964681553069,0.014144934066463355,5000
Two-Locus Tennessen,0,42,0.00271858824273294,0.016908132919941535,0.01414294283878319,5000
Two-Locus Tennessen,0,42,0.002848035868435802,-0.01566643569804211,0.014143228942800692,5000
Two-Locus Tennessen,0,42,0.0029836472402833404,-0.009925475300075686,0.01414426813647352,5000
Two-Locus Tennessen,0,42,0.0031257158496882354,-0.006668654584801421,0.014144650376128456,5000
Two-Locus Tennessen,0,42,0.0032745491628777316,-0.006491141864358723,0.01414466689802633,5000
Two-Locus Tennessen,0,42,0.003430469286314919,-0.008878759423272566,0.014144407348132784,5000
Two-Locus Tennessen,0,42,0.003593813663804626,0.007760226547454483,0.014144538980467847,5000
Two-Locus Tennessen,0,42,0.0037649358067924714,-0.004149943793810822,0.014144843096612729,5000
Two-Locus Tennessen,0,42,0.003944206059437656,-0.03288106868017948,0.014137316313555047,5000
Two-Locus Tennessen,0,42,0.0041320124001153384,-0.0011806795390089898,0.014144955040593285,5000
Two-Locus Tennessen,0,42,0.004328761281083062,0.005055056665021467,0.01414478417113962,5000
Two-Locus Tennessen,0,42,0.004534878508128582,-0.0029490950108053034,0.01414490338901179,5000
Two-Locus Tennessen,0,42,0.0047508101621027985,0.004356555904454446,0.014144830666288001,5000
Two-Locus Tennessen,0,42,0.004977023564332114,-0.009895738124980227,0.014144272305389626,5000
Two-Locus Tennessen,0,42,0.005214008287999685,0.012566788656507519,0.014143847939595076,5000
Two-Locus Tennessen,0,42,0.0054622772176843425,0.012990353448925518,0.014143771372972442,5000
Two-Locus Tennessen,0,42,0.00572236765935022,-0.010176358317213363,0.014144232466666701,5000
Two-Locus Tennessen,0,42,0.005994842503189409,-0.01836146133679186,0.014142580258851874,5000
Two-Locus Tennessen,0,42,0.00628029144183426,-0.01517971339665814,0.01414333513821163,5000
Two-Locus Tennessen,0,42,0.006579332246575682,-0.01039171095684802,0.01414420113824084,5000
Two-Locus Tennessen,0,42,0.006892612104349695,-0.015082396769926051,0.014143355969103034,5000
Two-Locus Tennessen,0,42,0.007220809018385471,-0.006313389931867271,0.014144682995540458,5000
Two-Locus Tennessen,0,42,0.007564633275546291,0.013804050829664197,0.014143617161062367,5000
Two-Locus Tennessen,0,42,0.007924828983539177,0.007690886299404479,0.014144546558038505,5000
Two-Locus Tennessen,0,42,0.008302175681319753,0.002263763142864407,0.014144928655810102,5000
Two-Locus Tennessen,0,42,0.008697490026177835,-0.011564372904961097,0.01414401903157689,5000
Two-Locus Tennessen,0,42,0.009111627561154896,0.003570362903718258,0.01414487474297121,5000
Two-Locus Tennessen,0,42,0.009545484566618348,-0.001055114555874629,0.014144957026105203,5000
Two-Locus Tennessen,0,42,0.01,-0.0031003409215922513,0.014144896917997045,5000
Two-Locus Tennessen,233,42,0.0001,0.06186929961271138,0.014117866822524354,5000
Two-Locus Tennessen,233,42,0.00010476157527896651,0.07570366058626873,0.01410437394926014,5000
Two-Locus Tennessen,233,42,0.00010974987654930556,0.08335091519163332,0.01409574407357549,5000
Two-Locus Tennessen,233,42,0.00011497569953977356,0.05883553051667847,0.014120461431631088,5000
Two-Locus Tennessen,233,42,0.00012045035402587823,0.06078419597950324,0.014118809886845047,5000
Two-Locus Tennessen,233,42,0.0001261856883066021,0.07651359502257034,0.014103499474751582,5000
Two-Locus Tennessen,233,42,0.00013219411484660288,0.09771537495600532,0.01407727278072776,5000
Two-Locus Tennessen,233,42,0.00013848863713938732,0.05930632193258911,0.014120067370830365,5000
Two-Locus Tennessen,233,42,0.000145082877849594,0.06830380578518773,0.014111930295098307,5000
Two-Locus Tennessen,233,42,0.0001519911082952933,0.06546635010337157,0.014114620802876432,5000
Two-Locus Tennessen,233,42,0.00015922827933410923,0.04874287121562542,0.014128151626043613,5000
Two-Locus Tennessen,233,42,0.0001668100537200059,0.047690065260843996,0.014128870497237008,5000
Two-Locus Tennessen,233,42,0.0001747528400007683,0.10494481385254179,0.014066857068876813,5000
Two-Locus Tennessen,233,42,0.0001830738280295368,0.03130082389594055,0.014138033996521644,5000
Two-Locus Tennessen,233,42,0.00019179102616724886,0.04763832943723073,0.01412890541765378,5000
Two-Locus Tennessen,233,42,0.00020092330025650479,0.06616642861980805,0.014113967634144945,5000
Two-Locus Tennessen,233,42,0.00021049041445120198,0.07210613924822565,0.014108145053098894,5000
Two-Locus Tennessen,233,42,0.00022051307399030456,0.03287699264142889,0.014137318210234997,5000
Two-Locus Tennessen,233,42,0.00023101297000831605,0.0535083657782433,0.014124700840296742,5000
Two-Locus Tennessen,233,42,0.00024201282647943835,0.036956764218231845,0.01413530198547565,5000
Two-Locus Tennessen,233,42,0.00025353644939701115,0.074944314935059,0.014105185303027963,5000
Two-Locus Tennessen,233,42,0.00026560877829466864,0.026744081245028563,0.014139905430868674,5000
Two-Locus Tennessen,233,42,0.0002782559402207126,0.024379315188881614,0.014140760737806216,5000
Two-Locus Tennessen,233,42,0.0002915053062825176,0.047106180743420954,0.014129262400052646,5000
Two-Locus Tennessen,233,42,0.0003053855508833416,0.03241166422166731,0.014137533191556912,5000
Two-Locus Tennessen,233,42,0.00031992671377973844,0.044506248636204705,0.014130948738544308,5000
Two-Locus Tennessen,233,42,0.0003351602650938841,0.03489742965966254,0.014136349190225918,5000
Two-Locus Tennessen,233,42,0.0003511191734215131,0.035405794064307744,0.014136096265815034,5000
Two-Locus Tennessen,233,42,0.0003678379771828634,0.030827861758392697,0.014138241918346771,5000
Two-Locus Tennessen,233,42,0.0003853528593710527,0.014350009878257975,0.01414350843941096,5000
Two-Locus Tennessen,233,42,0.0004037017258596554,0.012979414899555047,0.014143773382233195,5000
Two-Locus Tennessen,233,42,0.0004229242874389499,0.016357013089657747,0.014143072517124657,5000
Two-Locus Tennessen,233,42,0.0004430621457583882,-0.0031136115020118727,0.01414489633477784,5000
Two-Locus Tennessen,233,42,0.0004641588833612782,0.022468004903121484,0.01414139418030909,5000
Two-Locus Tennessen,233,42,0.00048626015800653534,-0.014285784130763693,0.01414352144813785,5000
Two-Locus Tennessen,233,42,0.000509413801481638,0.0005027452151607745,0.014144963112077264,5000
