scenario,ta,seed,rec_rate,corr_piApiB,se_corr_piApiB
Two-Locus Theory,1.0,42,0.00572236765935022,0.5239363222971134,0.026961910529793853
Two-Locus Theory,1.0,42,0.006579332246575682,0.4816155635059787,0.027741406241019527
Two-Locus Theory,1.0,42,0.007564633275546291,0.5105177434856304,0.027218621204368045
Two-Locus Theory,1.0,42,0.008697490026177835,0.505730327753668,0.027308026149367087
Two-Locus Theory,1.0,42,0.01,0.5305007792213108,0.026832982337560575
Two-Locus Theory,1.0,42,0.011497569953977356,0.5092263848333776,0.027242849238999334
Two-Locus Theory,1.0,42,0.013219411484660288,0.5053602061219726,0.027314890968216737
Two-Locus Theory,1.0,42,0.01519911082952933,0.5119346119285422,0.02719194286223069
Two-Locus Theory,1.0,42,0.01747528400007685,0.5322169526205707,0.026798908154995287
Two-Locus Theory,1.0,42,0.02009233002565048,0.480759468174768,0.02775628138048141
Two-Locus Theory,1.0,42,0.023101297000831605,0.5022304104709278,0.027372671427545472
Two-Locus Theory,1.0,42,0.026560877829466867,0.4339691498939174,0.02851836902215339
Two-Locus Theory,1.0,42,0.030538555088334154,0.43638504666325295,0.02848140572360669
Two-Locus Theory,1.0,42,0.03511191734215131,0.45527087410521655,0.02818363115927606
Two-Locus Theory,1.0,42,0.040370172585965536,0.48700322184117406,0.027646999386306808
Two-Locus Theory,1.0,42,0.04641588833612782,0.5175049473431309,0.027086083905911898
Two-Locus Theory,1.0,42,0.05336699231206313,0.4981677480044174,0.02744695913904066
Two-Locus Theory,1.0,42,0.061359072734131756,0.4704580806651328,0.02793259124471211
Two-Locus Theory,1.0,42,0.07054802310718646,0.45891684877979966,0.02812431831115116
Two-Locus Theory,1.0,42,0.08111308307896872,0.3454213918310867,0.02970604248272472
Two-Locus Theory,1.0,42,0.093260334688322,0.45724384814209484,0.028151609004020348
Two-Locus Theory,1.0,42,0.10722672220103231,0.3942398449611582,0.02909067685022489
Two-Locus Theory,1.0,42,0.12328467394420659,0.3912705031138175,0.02913081877665399
Two-Locus Theory,1.0,42,0.14174741629268048,0.34000679426575897,0.02976856925153927
Two-Locus Theory,1.0,42,0.16297508346206452,0.3155921717324223,0.030036744050037582
Two-Locus Theory,1.0,42,0.1873817422860385,0.30263868927777576,0.030170022942001083
Two-Locus Theory,1.0,42,0.21544346900318845,0.32725272225168195,0.029911453422904823
Two-Locus Theory,1.0,42,0.24770763559917114,0.2704079544934098,0.030475186827500042
Two-Locus Theory,1.0,42,0.2848035868435802,0.19786970897212525,0.031028585602961782
Two-Locus Theory,1.0,42,0.32745491628777285,0.26800709362942665,0.03049643032043071
Two-Locus Theory,1.0,42,0.37649358067924676,0.2002407950144913,0.03101334033233284
Two-Locus Theory,1.0,42,0.43287612810830617,0.17707329604828734,0.03115423278251496
Two-Locus Theory,1.0,42,0.49770235643321137,0.18501587549112863,0.03110794970559814
Two-Locus Theory,1.0,42,0.572236765935022,0.1558919355640574,0.031267443298852976
Two-Locus Theory,1.0,42,0.6579332246575682,0.12885125631822136,0.03139057326531432
Two-Locus Theory,1.0,42,0.7564633275546291,0.0638139602855252,0.031589929182005545
Two-Locus Theory,1.0,42,0.8697490026177834,0.05029414477746221,0.031614386564930486
Two-Locus Theory,1.0,42,1.0,0.04123896682702261,0.03162751883265679
Two-Locus Theory,1.0,42,1.1497569953977356,0.08283340221793878,0.031545663493537365
Two-Locus Theory,1.0,42,1.3219411484660286,0.035369771722653744,0.03163464051018606
Two-Locus Theory,1.0,42,1.5199110829529332,0.026210542855323225,0.031643571838853315
Two-Locus Theory,1.0,42,1.747528400007683,0.03697362204159895,0.031632802906358934
Two-Locus Theory,1.0,42,2.009233002565046,-0.016415404730201442,0.031650181713420364
Two-Locus Theory,1.0,42,2.310129700083158,0.011915402924479988,0.031652199712918536
Two-Locus Theory,1.0,42,2.6560877829466896,0.01699616640254349,0.03164987455656831
Two-Locus Theory,1.0,42,3.0538555088334185,0.08876370450319472,0.03152949766820411
Two-Locus Theory,1.0,42,3.5111917342151346,0.02041370115771857,0.0316478506965713
Two-Locus Theory,1.0,42,4.037017258596558,-0.0017794848877713079,0.031654396773651235
Two-Locus Theory,1.0,42,4.641588833612782,0.001112031241281043,0.03165442731948198
Two-Locus Theory,1.0,42,5.336699231206313,0.007902609559406141,0.03165345844651738
Two-Locus Theory,1.0,42,6.135907273413176,0.013911508286017997,0.031651383699886536
Two-Locus Theory,1.0,42,7.054802310718645,0.015388631064225559,0.03165069862547952
Two-Locus Theory,1.0,42,8.111308307896872,0.004140990747262191,0.03165417548835107
Two-Locus Theory,1.0,42,9.326033468832199,-0.010743036262873311,0.03165262017431818
Two-Locus Theory,1.0,42,10.722672220103231,-0.0534950113102302,0.0316091214189619
Two-Locus Theory,1.0,42,12.32846739442066,-0.03244610370261478,0.031637780400208586
Two-Locus Theory,1.0,42,14.174741629268048,-0.02211417871525714,0.03164670584882277
Two-Locus Theory,1.0,42,16.297508346206435,-0.04080241708163198,0.03162808616450188
Two-Locus Theory,1.0,42,18.73817422860383,-0.06527483381942756,0.031586938208706575
Two-Locus Theory,1.0,42,21.544346900318867,-0.006591250761252409,0.03165375927699796
Two-Locus Theory,1.0,42,24.77076355991714,-0.012054308697373405,0.03165214701189722
Two-Locus Theory,1.0,42,28.48035868435805,-0.017636856546145135,0.031649523313046234
