scenario,ta,rec_rate,corr_bl,cov_bl,exp_bl,Ne,Ne_est,Nreps,seed
DivergenceMigration1,233.0,3.48,0.037434876311869175,1631873750.495946,40670.195972754525,10000,10167.548993188631,20000,42
DivergenceMigration1,233.0,3.55,0.05159668714641451,1622493640.094243,40139.69068227321,10000,10034.922670568303,20000,42
DivergenceMigration1,233.0,3.62,0.06012082002925024,1609056974.4330783,40250.54302405531,10000,10062.635756013828,20000,42
DivergenceMigration1,233.0,3.69,0.0693942959273848,1538258431.789684,39838.39712234384,10000,9959.59928058596,20000,42
DivergenceMigration1,233.0,3.76,0.06782664015950508,1586102353.6937816,40333.02455634915,10000,10083.256139087287,20000,42
DivergenceMigration1,233.0,3.83,0.0856739997991448,1590606958.206482,40174.77422715023,10000,10043.693556787557,20000,42
DivergenceMigration1,233.0,3.9,0.11812391532016343,1596864909.3232281,40522.834749941656,10000,10130.708687485414,20000,42
DivergenceMigration1,233.0,3.97,0.12182380914944885,1657344844.3907957,40784.46818041583,10000,10196.117045103958,20000,42
DivergenceMigration1,233.0,4.03,0.1420212805978172,1584214993.9701467,40236.84192983883,10000,10059.210482459708,20000,42
DivergenceMigration1,233.0,4.1,0.1687398761372521,1563498924.9781327,39999.905131442996,10000,9999.976282860749,20000,42
DivergenceMigration1,233.0,4.17,0.19499772421861097,1598788406.423238,40093.00731046289,10000,10023.251827615723,20000,42
DivergenceMigration1,233.0,4.24,0.23243836829710704,1642480114.2060773,40952.32738013997,10000,10238.081845034993,20000,42
DivergenceMigration1,233.0,4.31,0.2485611955126581,1648583835.2823198,40618.84750969092,10000,10154.71187742273,20000,42
DivergenceMigration1,233.0,4.38,0.28066101988823,1588312391.3730788,40280.40017322981,10000,10070.100043307453,20000,42
DivergenceMigration1,233.0,4.45,0.33681787804042984,1601604755.443397,40093.80562068606,10000,10023.451405171514,20000,42
DivergenceMigration1,233.0,4.52,0.3642450361061441,1590406196.4910164,40102.51850856489,10000,10025.629627141223,20000,42
DivergenceMigration1,233.0,4.59,0.4157618896857854,1586546408.4000642,39793.723278872305,10000,9948.430819718076,20000,42
DivergenceMigration1,233.0,4.66,0.4230232591363249,1605937625.5163524,40035.406811256704,10000,10008.851702814176,20000,42
DivergenceMigration1,233.0,4.72,0.4842876850746548,1572625975.595503,40323.718359175924,10000,10080.929589793981,20000,42
DivergenceMigration1,233.0,4.79,0.5421334139901941,1601763595.668203,39961.38026158721,10000,9990.345065396803,20000,42
DivergenceMigration1,233.0,4.86,0.575978804998442,1575882201.906943,40118.9114736436,10000,10029.7278684109,20000,42
DivergenceMigration1,233.0,4.93,0.609276585019801,1554689134.2780104,39903.04441419423,10000,9975.761103548557,20000,42
DivergenceMigration1,233.0,5.0,0.6309689840709557,1573503919.7858515,40025.24793404756,10000,10006.31198351189,20000,42
DivergenceMigration1,1500.0,3.0,-0.00031263063073167516,1568148746.4693563,41089.952877545285,10000,10272.488219386321,20000,42
DivergenceMigration1,1500.0,3.07,-0.007968266698555526,1594214246.8969615,41452.80795905192,10000,10363.20198976298,20000,42
