scenario,ta,rec_rate,corr_bl,cov_bl,exp_bl,Ne,Ne_est,Nreps,seed
Tennessen,0.0,4.79,0.668185412153204,991840253.4429919,27470.350655809565,10000.0,6867.587663952391,20000,42
Tennessen,0.0,4.86,0.6972297348582095,991178817.5675822,27720.059578222692,10000.0,6930.014894555673,20000,42
Tennessen,0.0,4.93,0.7393994542295779,975637576.7957982,27648.10600375296,10000.0,6912.02650093824,20000,42
Tennessen,0.0,5.0,0.7695149670032382,995446447.9658359,27710.448645377874,10000.0,6927.612161344468,20000,42
Tennessen,233.0,3.0,0.018198078939799734,1038311196.642478,27926.774475927687,10000.0,6981.693618981922,20000,42
Tennessen,233.0,3.07,0.0232871458539657,1045298129.3666558,28130.666563768526,10000.0,7032.666640942131,20000,42
Tennessen,233.0,3.14,0.0439443798613494,1019467814.494276,27824.018036411726,10000.0,6956.0045091029315,20000,42
Tennessen,233.0,3.21,0.046551495841964455,1031194180.0092329,27832.909189932452,10000.0,6958.227297483113,20000,42
Tennessen,233.0,3.28,0.05908172325838659,1057787319.6603634,28162.025986168162,10000.0,7040.506496542041,20000,42
Tennessen,233.0,3.34,0.0719267681638667,1055270567.5147859,27552.75805123242,10000.0,6888.189512808105,20000,42
Tennessen,233.0,3.41,0.09205376345774087,1016824820.1916984,27818.72785857877,10000.0,6954.681964644693,20000,42
Tennessen,233.0,3.48,0.11673084172019874,1012473976.4660754,27631.530584257085,10000.0,6907.882646064271,20000,42
Tennessen,233.0,3.55,0.12838265193864604,1006097585.261869,27687.12854627763,10000.0,6921.782136569407,20000,42
Tennessen,233.0,3.62,0.14456224489821892,1013573692.3997967,27624.133103610646,10000.0,6906.033275902661,20000,42
Tennessen,233.0,3.69,0.1719022548846213,1017435499.8373897,27806.204754760813,10000.0,6951.551188690203,20000,42
Tennessen,233.0,3.76,0.19319736505152665,996101453.3580952,27297.971344993697,10000.0,6824.492836248424,20000,42
Tennessen,233.0,3.83,0.20787142651043505,1030050059.9791849,27992.06600790864,10000.0,6998.01650197716,20000,42
Tennessen,233.0,3.9,0.24453274312525242,989594948.7926327,27690.850349880202,10000.0,6922.7125874700505,20000,42
Tennessen,233.0,3.97,0.2755657902068278,1003436322.3099873,27330.835004608667,10000.0,6832.708751152167,20000,42
Tennessen,233.0,4.03,0.30404953524132733,992579794.5194111,27664.14116468159,10000.0,6916.035291170398,20000,42
Tennessen,233.0,4.1,0.339419560609529,1016267717.557718,27648.706617923643,10000.0,6912.176654480911,20000,42
