scenario,ta,rec_rate,corr_bl,cov_bl,exp_bl,Ne,Ne_est,Nreps,seed
SerialConstant,320.0,4,0.06897286003061967,6445642057.993821,80171.31364492502,20000,20042.828411231254,50000,42
SerialConstant,340.0,4,0.2508537015283354,402996220.797808,20457.26378815822,5000,5114.315947039555,50000,42
SerialConstant,340.0,4,0.13864924977506177,1580768611.800945,40233.48165477348,10000,10058.37041369337,50000,42
SerialConstant,340.0,4,0.07308367000344664,6376844329.606684,80428.34006772726,20000,20107.085016931815,50000,42
SerialConstant,360.0,4,0.2477868026294541,404278210.27152145,20502.279323300572,5000,5125.569830825143,50000,42
SerialConstant,360.0,4,0.1360833288158466,1615972993.1744895,40334.603369244316,10000,10083.650842311079,50000,42
SerialConstant,360.0,4,0.06114974540401019,6466691695.20332,80692.35816456037,20000,20173.089541140092,50000,42
SerialConstant,380.0,4,0.23687113543644694,405338071.77364504,20427.55136209077,5000,5106.887840522692,50000,42
SerialConstant,380.0,4,0.13432999559440234,1634905967.0777872,40718.24117532197,10000,10179.560293830493,50000,42
SerialConstant,380.0,4,0.06440707870115739,6454966469.009081,80738.99762693014,20000,20184.749406732535,50000,42
SerialConstant,400.0,4,0.2413880048323399,400398283.3077411,20366.583955855116,5000,5091.645988963779,50000,42
SerialConstant,400.0,4,0.12215496570984274,1591253487.2221677,40260.047739678485,10000,10065.011934919621,50000,42
SerialConstant,400.0,4,0.06661143802530635,6313955512.859569,80180.82763630297,20000,20045.206909075743,50000,42
SerialConstant,420.0,4,0.2428483788375797,395187405.2371235,20350.190832157856,5000,5087.547708039464,50000,42
SerialConstant,420.0,4,0.12741265774849345,1628702309.735662,40301.21015317243,10000,10075.302538293108,50000,42
SerialConstant,420.0,4,0.06472676481655373,6342038881.532507,80297.5032375584,20000,20074.3758093896,50000,42
SerialConstant,440.0,4,0.2362278030528639,403521520.67548746,20523.416899632262,5000,5130.854224908066,50000,42
SerialConstant,440.0,4,0.1369419954608112,1586185296.398465,40624.2927840077,10000,10156.073196001926,50000,42
SerialConstant,440.0,4,0.06745033979760454,6443468793.661488,80995.02755993685,20000,20248.75688998421,50000,42
SerialConstant,460.0,4,0.23490932762886357,402628288.28332055,20487.311999058686,5000,5121.827999764671,50000,42
SerialConstant,460.0,4,0.12639634352673107,1637502730.9724102,40615.69021455751,10000,10153.922553639377,50000,42
SerialConstant,460.0,4,0.06428560509607523,6230839083.881685,80107.72300699605,20000,20026.930751749012,50000,42
SerialConstant,480.0,4,0.22962140965523692,397153399.02559614,20475.794290800244,5000,5118.948572700061,50000,42
SerialConstant,480.0,4,0.1233067564053626,1570691091.1668556,40399.5699686355,10000,10099.892492158875,50000,42
SerialConstant,480.0,4,0.07057857625135765,6333919747.91878,80751.61875404214,20000,20187.904688510534,50000,42
SerialConstant,500.0,4,0.24010701969607262,396182635.50845677,20551.91467755291,5000,5137.978669388228,50000,42
SerialConstant,500.0,4,0.1289087757087896,1610757859.7541723,40658.66392970206,10000,10164.665982425515,50000,42
SerialConstant,500.0,4,0.06795856691760624,6428196736.431482,80619.86475138877,20000,20154.966187847192,50000,42
Tennessen,0.0,4,0.2798852571859105,989939134.9976768,27801.158102389356,10000.0,6950.289525597339,50000,42
Tennessen,20.0,4,0.27994955547493,970763773.7343118,27276.759497526346,10000.0,6819.189874381586,50000,42
Tennessen,40.0,4,0.2789888735525985,994859383.0725,27623.00563998876,10000.0,6905.75140999719,50000,42
Tennessen,60.0,4,0.27467853548727644,979918241.9174495,27476.786212880685,10000.0,6869.196553220171,50000,42
Tennessen,80.0,4,0.282386841781752,1006326986.87187,27596.464007963667,10000.0,6899.116001990917,50000,42
