scales_true,scales_marg_hat,scales_jt_hat,eps_jt_hat,se_scales_jt_hat,se_eps_jt_hat
100,101.8101253109962,88.43611875036913,0.5,1.403906737256556,0.0001422069868078813
200,187.20170434035512,162.7952441468983,0.5,2.170903163765813,0.0002114417035049932
300,289.7678282625227,218.50496636589352,0.5,2.0971773528861153,0.0006269445600787205
400,422.0499329974614,281.1343820648544,0.5,7.170719584745567,0.0015898721688964357
500,514.7809203130917,347.8484334000063,0.5,3.249756236499516,0.0024305582314241682
600,622.1330992520683,414.30450661280156,0.5,6.135019568503751,0.003045476616606898
700,659.3260028958808,426.52672098385756,0.5,14.737155528491666,0.00331647373504783
800,770.6910858861681,472.49284153070334,0.5,3.622755278130441,0.004769925685903107
900,922.4472840585622,551.0955435186183,0.5,5.518740964981437,0.0059408060282344155
100,99.62440265188383,91.14994729502895,0.5,1.0,1.0
200,204.11736707693004,155.88100875822994,0.5,1.708676052364775,0.00028432033207161686
300,328.7060172842723,261.2366938825591,0.5,3.0018439586437404,0.0008557927777787872
400,344.65260205941587,262.0180473573848,0.5,3.4106482531239335,0.0010029135770958375
500,526.7796220738663,360.91186287833045,0.5,7.21515396562545,0.002446594160947157
600,639.4998053122015,418.4325732069124,0.5,6.809036177633065,0.003476398027318965
700,773.2960411954788,481.6866474772225,0.5,5.073734996767656,0.004475185932978616
800,791.9389347847688,472.77856366813603,0.5,6.877449710469187,0.004820846492366893
900,848.2286258439211,507.13060754157283,0.5,4.478038734261037,0.005213614355408673
100,102.97892438111191,96.002750172182,0.5,1.3740230851856992,0.00014018567022884896
200,194.60009657197574,152.08917990016676,0.5,104.36910758295295,0.00026154306008632116
300,316.37110977032364,231.46388839160056,0.5,1.9916984700207772,0.0008180772091741829
400,416.4699577584362,306.98792438753503,0.5,7.486623039466259,0.0014634600329078437
500,522.5757324362291,394.43794765926543,0.5,1.0,1.0
600,659.3083947389473,405.12278437505927,0.5,3.841056128467526,0.003562542392559538
700,714.5472546865178,417.49614484454446,0.5,4.112682887987075,0.004016548024826395
