scales_true,scales_marg_hat,scales_jt_hat,eps_jt_hat,se_scales_jt_hat,se_eps_jt_hat,nsnps,thin,seeds,replicate,min_gen_dist
100,116.43179081132892,116.55241630596926,0.018589415037818184,17.198714537567522,0.00022632528724673292,27383,5,1,0,2.5759268496017285e-08
200,205.17972756216375,205.47184387435257,0.02000157079641899,22.616416861529306,0.00023437112347508832,27383,5,1,0,2.5759268496017285e-08
300,303.4656989335748,303.5627578679604,0.018039560934637388,13.100958707729388,0.00020664227452918835,27383,5,1,0,2.5759268496017285e-08
400,401.1988798763184,401.32242197821705,0.018799923846811648,12.737886398313305,0.00021411744075809243,27383,5,1,0,2.5759268496017285e-08
500,518.1366572346499,518.271315464917,0.019033877398801597,11.716948338837689,0.00021532061735230016,27383,5,1,0,2.5759268496017285e-08
600,606.0628723096153,606.1681623147193,0.01787811262698473,10.673349540428047,0.00021658484247277253,27383,5,1,0,2.5759268496017285e-08
700,673.968271632176,674.1428271155598,0.02044171894518807,10.926325709452511,0.00021471225164299937,27383,5,1,0,2.5759268496017285e-08
800,795.9879889737481,796.1422492840135,0.02015049907460231,9.652756417944728,0.00028955651271414187,27383,5,1,0,2.5759268496017285e-08
900,839.753676288774,839.8759504391487,0.01921296271512223,8.805413717155995,0.00021485874196670412,27383,5,1,0,2.5759268496017285e-08
100,97.92482746127018,98.28796940644054,0.0207221890764943,26.749336399576727,0.00031297564044908646,27383,5,2,0,2.5759268496017285e-08
200,181.97450470138403,182.29141730164872,0.02077943671583877,22.072349961727035,0.00025519708043230803,27383,5,2,0,2.5759268496017285e-08
300,294.1666202929319,294.51434584301603,0.021525746346075538,20.33754539990242,0.00021315781741955482,27383,5,2,0,2.5759268496017285e-08
400,373.57799705087547,373.7956295535175,0.021112728045184496,13.621998776880005,0.00022191685191322346,27383,5,2,0,2.5759268496017285e-08
500,557.4326499709244,557.6597657622589,0.02065404925649618,13.742312997336679,0.000217057701195047,27383,5,2,0,2.5759268496017285e-08
600,568.1491494926779,568.4338337459394,0.02223152698317243,14.731257456513822,0.0003034023143613068,27383,5,2,0,2.5759268496017285e-08
700,743.8458448333557,744.0574175399194,0.021318317029400086,11.724194451921434,0.00029795617003506,27383,5,2,0,2.5759268496017285e-08
800,921.7882506592885,921.9942454484213,0.022771222655870643,9.51570586894878,0.00029892507134457,27383,5,2,0,2.5759268496017285e-08
900,1039.5971148193437,1039.7787723419424,0.021872488229441312,9.071026551274265,0.0002957228436322923,27383,5,2,0,2.5759268496017285e-08
100,98.94687737311384,99.06174330815415,0.01839973383493394,18.00988691179329,0.00021175354801513367,27383,5,3,0,2.5759268496017285e-08
200,189.22321971226233,189.33273565801306,0.018182040193608803,15.791205695570717,0.00021804910310971293,27383,5,3,0,2.5759268496017285e-08
300,294.1393753508749,294.4375774642535,0.02144840618022029,17.983131683124213,0.00022845563802608207,27383,5,3,0,2.5759268496017285e-08
400,409.7956337134028,409.9170885522259,0.018293096476778955,12.751292578135793,0.0002118843129818576,27383,5,3,0,2.5759268496017285e-08
500,535.1805641508876,535.317400708657,0.01815556326134897,12.811828558986488,0.00021752397595757746,27383,5,3,0,2.5759268496017285e-08
600,670.8172298172221,670.91684749421,0.017478811834083934,10.771552194113635,0.00020709881100096903,27383,5,3,0,2.5759268496017285e-08
700,738.8653562310838,738.9749295121472,0.018275053662200953,9.409504984662203,0.0002066504434556052,27383,5,3,0,2.5759268496017285e-08
800,867.547649136988,867.7508429560489,0.022061825400698794,10.063682890118603,0.0002955927384855472,27383,5,3,0,2.5759268496017285e-08
900,957.4864182334428,957.6359595673257,0.02016135340658849,9.123974456125286,0.0002924907814589117,27383,5,3,0,2.5759268496017285e-08
100,95.8052309605162,96.11256514764123,0.02142132606787212,20.576632769513896,0.00022249707314730532,27383,5,4,0,2.5759268496017285e-08
200,212.48727294165084,212.7433371305839,0.02122025694381492,16.699114931399283,0.00023356049397218716,27383,5,4,0,2.5759268496017285e-08
300,318.77708771999977,319.0365094295194,0.021303103979864194,15.534494646111924,0.0002138969281143665,27383,5,4,0,2.5759268496017285e-08
400,421.5165979794634,421.7753429716689,0.021309162715946725,14.825176405748605,0.00021993945298023196,27383,5,4,0,2.5759268496017285e-08
500,564.8134604185012,565.0446671135761,0.021723768350553965,12.527238989518603,0.0002169502838733516,27383,5,4,0,2.5759268496017285e-08
600,629.7691848429179,629.9399413492051,0.020968854129020487,10.34388787053865,0.00023017723629455378,27383,5,4,0,2.5759268496017285e-08
700,741.1842510596052,741.403658415988,0.02268756901787742,10.763483157070073,0.00029755362163781424,27383,5,4,0,2.5759268496017285e-08
800,904.0074151116467,904.1752331250248,0.021678104122925188,9.071045332285847,0.0002974697276855694,27383,5,4,0,2.5759268496017285e-08
900,932.7571753034397,932.89060956926,0.021280720822156415,7.558819490883549,0.00029899586612015263,27383,5,4,0,2.5759268496017285e-08
100,103.62408223470908,103.82850794645708,0.020109150931807013,18.271029017302688,0.00022039918368198502,27383,5,5,0,2.5759268496017285e-08
200,215.9477631507197,216.19857561264067,0.020130729683711917,19.242863958033087,0.00022834541627349118,27383,5,5,0,2.5759268496017285e-08
300,302.6740630527538,302.9690525088792,0.020458717620881733,19.498377952856252,0.00025387684374913755,27383,5,5,0,2.5759268496017285e-08
400,407.43132510235796,407.6108028815256,0.020194345648582274,12.940802658469133,0.00022305468810849906,27383,5,5,0,2.5759268496017285e-08
500,577.8717839676085,578.0019374385495,0.018615774099777757,11.509736643342071,0.00021795934906203526,27383,5,5,0,2.5759268496017285e-08
