scales_true,scales_marg_hat,scales_jt_hat,eps_jt_hat,se_scales_jt_hat,se_eps_jt_hat,nsnps,seeds,replicate,min_gen_dist
100,78.43650919498052,79.11491651778967,0.020295470843768308,56.023289668478526,0.0005617996924190955,24847,1,0,1.0229783797832681e-08
200,200.3966568668902,200.81365518184353,0.020133694742181966,32.436452638304154,0.00028720770157838327,24847,1,0,1.0229783797832681e-08
300,327.1929481445556,327.52622447126055,0.019617115611348167,27.08193270797479,0.00020267728219990842,24847,1,0,1.0229783797832681e-08
400,382.9725370272217,383.47421275625874,0.02099729059874633,30.08043410105664,0.0002663769453372952,24847,1,0,1.0229783797832681e-08
500,493.37644244807575,493.78235662882696,0.019529535828689003,28.21936884657753,0.000199779234125589,24847,1,0,1.0229783797832681e-08
600,582.1479402156345,582.4748500448936,0.019543563675254,22.80381072603763,0.0001918620123238128,24847,1,0,1.0229783797832681e-08
700,728.6203398300307,728.992564926785,0.019639154991869957,23.286963844282266,0.00027465219358330044,24847,1,0,1.0229783797832681e-08
800,889.6365856819217,890.0281679536251,0.022433930454434023,18.30252654612148,0.00024900229986939484,24847,1,0,1.0229783797832681e-08
900,881.8110050117357,882.1017635699405,0.021508474827523594,15.642102636018802,0.00023657296477309542,24847,1,0,1.0229783797832681e-08
100,105.88208445163403,106.4707102358713,0.020799219535950802,42.98697865698741,0.0003160733094337392,24847,2,0,1.0229783797832681e-08
200,186.5014246943364,187.10793309140013,0.021103437346671767,39.22272611606394,0.00035801861598681964,24847,2,0,1.0229783797832681e-08
300,303.3622415923769,303.9174131058381,0.02133733632952807,33.30982089837759,0.00031566712423497414,24847,2,0,1.0229783797832681e-08
400,425.75015505411386,426.26228758155025,0.021927440158257167,27.319589418899007,0.00027550218973311583,24847,2,0,1.0229783797832681e-08
500,508.42466560047376,508.8096786015982,0.02004992029634873,25.280577533450057,0.000260507585044822,24847,2,0,1.0229783797832681e-08
600,680.987178627499,681.5161303492002,0.022938584189345405,24.279216893061076,0.00030065460222035325,24847,2,0,1.0229783797832681e-08
700,756.2214837142453,756.5728222778678,0.021381485381560195,19.43480720573922,0.00023527708708368818,24847,2,0,1.0229783797832681e-08
800,852.4426763502065,852.793099782954,0.02093961025472355,18.849014302445624,0.00024075102888105509,24847,2,0,1.0229783797832681e-08
900,982.4013494274744,982.7855237795709,0.022499795982703852,17.92059503437868,0.0002447867663715668,24847,2,0,1.0229783797832681e-08
100,97.3750850185454,97.82024314709423,0.019334314004061944,46.13456363241707,0.00039110178439195377,24847,3,0,1.0229783797832681e-08
200,224.4792716964812,225.08019901412388,0.020853896298711264,39.49667942139967,0.0003637458877934356,24847,3,0,1.0229783797832681e-08
300,312.7828912637274,313.43403246889073,0.022145656378780226,34.62269637148044,0.0003652220874908971,24847,3,0,1.0229783797832681e-08
400,440.43883059718763,441.0030795643633,0.02146554761181391,30.74759069368212,0.00033470898472483625,24847,3,0,1.0229783797832681e-08
500,520.3487585823895,520.5833910156266,0.018346509498210893,21.493607313552026,0.00021730829921797636,24847,3,0,1.0229783797832681e-08
600,630.0849392470624,630.5760131028236,0.02254000822160506,23.848989111274236,0.00028636227795161563,24847,3,0,1.0229783797832681e-08
700,766.765681904721,767.0235612060467,0.01847901389073877,19.687258604714785,0.0002546828396412782,24847,3,0,1.0229783797832681e-08
800,802.2831089533341,802.5525433532547,0.019518107067597507,17.589960619489922,0.0002477708935871998,24847,3,0,1.0229783797832681e-08
900,971.9852266099193,972.2066593482143,0.01853222346913474,15.836982781140117,0.00023603222398892862,24847,3,0,1.0229783797832681e-08
100,116.49437677648581,116.98959337423604,0.02041704254999777,39.17372644175455,0.00031307753898748814,24847,4,0,1.0229783797832681e-08
200,230.21032563399675,230.86358249794716,0.021748039187357803,37.66020678128663,0.000266093527582573,24847,4,0,1.0229783797832681e-08
300,338.5160429144183,339.00811057531,0.021108612077276004,29.667030643556455,0.00022547189333524016,24847,4,0,1.0229783797832681e-08
400,443.42878986184564,443.8226693276284,0.021162740151442646,23.72061848466282,0.00019325783913603064,24847,4,0,1.0229783797832681e-08
500,520.7179772879055,521.3075619228723,0.02291507314486413,28.10373389502402,0.00028383634641424536,24847,4,0,1.0229783797832681e-08
600,673.5153608203692,673.9274277462968,0.0218183814527834,21.458429576812556,0.00027794454984648233,24847,4,0,1.0229783797832681e-08
700,781.2494723931461,781.6016369662786,0.02074150154167962,19.83010360815418,0.00024403487456368266,24847,4,0,1.0229783797832681e-08
800,948.1633910008966,948.5428514211142,0.022154594144666757,18.10887337185778,0.00022666683444446168,24847,4,0,1.0229783797832681e-08
900,989.7626114949657,990.0753648584144,0.022244372358510685,14.917373115406887,0.00023210351045424327,24847,4,0,1.0229783797832681e-08
100,100.73490215256089,101.15603317377713,0.020186079121526375,35.95188939239694,0.0002572460092714086,24847,5,0,1.0229783797832681e-08
200,212.71879685043208,213.1088587765671,0.018594947394690205,42.951161106596366,0.00041143016907691524,24847,5,0,1.0229783797832681e-08
300,349.76050479188984,350.23834944139827,0.020291024027214014,32.65196647223561,0.0002467929448932252,24847,5,0,1.0229783797832681e-08
400,414.8412224421701,415.33053396763074,0.021037865338131227,29.03779072090756,0.0002024914988197916,24847,5,0,1.0229783797832681e-08
500,534.6141298135536,534.9822320934327,0.019341640444956967,26.448576893483846,0.0002681082832644338,24847,5,0,1.0229783797832681e-08
600,660.1561752126267,660.5844205875997,0.0213199858644481,23.414497569411626,0.00028532661225626947,24847,5,0,1.0229783797832681e-08
